id,name,description,uri,code,alt_names,collection,vocabulary
role_dgs,Degree supervisor,A person overseeing a higher level academic degree,http://id.loc.gov/vocabulary/relators/dgs,dgs,"",Other,MARC Code List for Relators Scheme
role_mtk,Minute taker,"A person, family, or organization responsible for recording the minutes of a meeting",http://id.loc.gov/vocabulary/relators/mtk,mtk,"",Contributor,MARC Code List for Relators Scheme
role_ccp,Conceptor,"A person or organization responsible for the original idea on which a work is based, this includes the scientific author of an audio-visual item and the conceptor of an advertisement",http://id.loc.gov/vocabulary/relators/ccp,ccp,"","",MARC Code List for Relators Scheme
role_cwt,Commentator for written text,"A person or organization responsible for the commentary or explanatory notes about a text. For the writer of manuscript annotations in a printed book, use Annotator",http://id.loc.gov/vocabulary/relators/cwt,cwt,"","",MARC Code List for Relators Scheme
role_bkd,Book designer,"A person or organization involved in manufacturing a manifestation by being responsible for the entire graphic design of a book, including arrangement of type and illustration, choice of materials, and process used",http://id.loc.gov/vocabulary/relators/bkd,bkd,Designer of book|Designer of e-book,"",MARC Code List for Relators Scheme
role_str,Stereotyper,A person or organization who creates a new plate for printing by molding or copying another printing surface,http://id.loc.gov/vocabulary/relators/str,str,"","",MARC Code List for Relators Scheme
role_rdd,Radio director,A director responsible for the general management and supervision of a radio program,http://id.loc.gov/vocabulary/relators/rdd,rdd,"",Other,MARC Code List for Relators Scheme
role_pro,Producer,"A person, family, or organization responsible for most of the business aspects of a production for screen, audio recording, television, webcast, etc. The producer is generally responsible for fund raising, managing the production, hiring key personnel, arranging for distributors, etc.",http://id.loc.gov/vocabulary/relators/pro,pro,"","",MARC Code List for Relators Scheme
role_wdc,Woodcutter,A person or organization who makes prints by cutting the image in relief on the plank side of a wood block,http://id.loc.gov/vocabulary/relators/wdc,wdc,"","",MARC Code List for Relators Scheme
role_lso,Licensor,"A person or organization who is a signer of the license, imprimatur, etc",http://id.loc.gov/vocabulary/relators/lso,lso,Imprimatur,"",MARC Code List for Relators Scheme
role_asn,Associated name,"A person or organization associated with or found in an item or collection, which cannot be determined to be that of a Former owner [fmo] or other designated relationship indicative of provenance",http://id.loc.gov/vocabulary/relators/asn,asn,"","",MARC Code List for Relators Scheme
role_tch,Teacher,A performer contributing to a resource by giving instruction or providing a demonstration,http://id.loc.gov/vocabulary/relators/tch,tch,Instructor,Contributor,MARC Code List for Relators Scheme
role_edc,Editor of compilation,"A person, family, or organization contributing to a collective or aggregate work by selecting and putting together works, or parts of works, by one or more creators. For compilations of data, information, etc., that result in new works, see compiler",http://id.loc.gov/vocabulary/relators/edc,edc,"",Contributor,MARC Code List for Relators Scheme
role_ard,Artistic director,"A person responsible for controlling the development of the artistic style of an entire production, including the choice of works to be presented and selection of senior production staff",http://id.loc.gov/vocabulary/relators/ard,ard,"","",MARC Code List for Relators Scheme
role_evp,Event place,A place where an event such as a conference or a concert took place,http://id.loc.gov/vocabulary/relators/evp,evp,"","",MARC Code List for Relators Scheme
role_brl,Braille embosser,"A person, family, or organization involved in manufacturing a resource by embossing Braille cells using a stylus, special embossing printer, or other device",http://id.loc.gov/vocabulary/relators/brl,brl,"","",MARC Code List for Relators Scheme
role_clr,Colorist,"A person or organization responsible for applying color to drawings, prints, photographs, maps, moving images, etc",http://id.loc.gov/vocabulary/relators/clr,clr,"","",MARC Code List for Relators Scheme
role_ape,Appellee,A person or organization against whom an appeal is taken,http://id.loc.gov/vocabulary/relators/ape,ape,"",Other,MARC Code List for Relators Scheme
role_bnd,Binder,A person who binds an item,http://id.loc.gov/vocabulary/relators/bnd,bnd,"",Other,MARC Code List for Relators Scheme
role_vac,Voice actor,"An actor contributing to a resource by providing the voice for characters in radio and audio productions and for animated characters in moving image works, as well as by providing voice overs in radio and television commercials, dubbed resources, etc.",http://id.loc.gov/vocabulary/relators/vac,vac,"",Contributor,MARC Code List for Relators Scheme
role_fmp,Film producer,A producer responsible for most of the business aspects of a film,http://id.loc.gov/vocabulary/relators/fmp,fmp,"",Other,MARC Code List for Relators Scheme
role_fmo,Former owner,"A person, family, or organization formerly having legal possession of an item",http://id.loc.gov/vocabulary/relators/fmo,fmo,"",Owner,MARC Code List for Relators Scheme
role_app,Applicant,"A  person or organization responsible for the submission of an application or who is named as eligible for the results of the processing of the application (e.g., bestowing of rights, reward, title, position)",http://id.loc.gov/vocabulary/relators/app,app,"","",MARC Code List for Relators Scheme
role_exp,Expert,"A person or organization in charge of the description and appraisal of the value of goods, particularly rare items, works of art, etc.",http://id.loc.gov/vocabulary/relators/exp,exp,Appraiser,"",MARC Code List for Relators Scheme
role_bsl,Bookseller,A person or organization who makes books and other bibliographic materials available for purchase. Interest in the materials is primarily lucrative,http://id.loc.gov/vocabulary/relators/bsl,bsl,"","",MARC Code List for Relators Scheme
role_lil,Libelant,A person or organization who files a libel in an ecclesiastical or admiralty case,http://id.loc.gov/vocabulary/relators/lil,lil,"","",MARC Code List for Relators Scheme
role_mdc,Metadata contact,"A person or organization primarily responsible for compiling and maintaining the original description of a metadata set (e.g., geospatial metadata set)",http://id.loc.gov/vocabulary/relators/mdc,mdc,"","",MARC Code List for Relators Scheme
role_chr,Choreographer,A person responsible for creating or contributing to a work of movement,http://id.loc.gov/vocabulary/relators/chr,chr,"",Creator,MARC Code List for Relators Scheme
role_ctb,Contributor,"A person, family or organization responsible for making contributions to the resource. This includes those whose work has been contributed to a larger work, such as an anthology, serial publication, or other compilation of individual works. If a more specific role is available, prefer that, e.g. editor, compiler, illustrator",http://id.loc.gov/vocabulary/relators/ctb,ctb,Collaborator,Contributor,MARC Code List for Relators Scheme
role_itr,Instrumentalist,A performer contributing to a resource by playing a musical instrument,http://id.loc.gov/vocabulary/relators/itr,itr,"",Contributor,MARC Code List for Relators Scheme
role_asg,Assignee,A person or organization to whom a license for printing or publishing has been transferred,http://id.loc.gov/vocabulary/relators/asg,asg,"","",MARC Code List for Relators Scheme
role_dis,Dissertant,A person who presents a thesis for a university or higher-level educational degree,http://id.loc.gov/vocabulary/relators/dis,dis,"","",MARC Code List for Relators Scheme
role_hnr,Honoree,"A person, family, or organization honored by a work or item (e.g., the honoree of a festschrift, a person to whom a copy is presented)",http://id.loc.gov/vocabulary/relators/hnr,hnr,Honouree|Honouree of item,Other,MARC Code List for Relators Scheme
role_cre,Creator,A person or organization responsible for the intellectual or artistic content of a resource,http://id.loc.gov/vocabulary/relators/cre,cre,"",Creator,MARC Code List for Relators Scheme
role_cot,Contestant-appellant,A contestant who takes an appeal from one court of law or jurisdiction to another to reverse the judgment,http://id.loc.gov/vocabulary/relators/cot,cot,"","",MARC Code List for Relators Scheme
role_nrt,Narrator,"A performer contributing to a resource by reading or speaking in order to give an account of an act, occurrence, course of events, etc",http://id.loc.gov/vocabulary/relators/nrt,nrt,"",Contributor,MARC Code List for Relators Scheme
role_drm,Draftsman,"A person, family, or organization contributing to a resource by an architect, inventor, etc., by making detailed plans or drawings for buildings, ships, aircraft, machines, objects, etc",http://id.loc.gov/vocabulary/relators/drm,drm,Technical draftsman,Contributor,MARC Code List for Relators Scheme
role_trl,Translator,"A person or organization who renders a text from one language into another, or from an older form of a language into the modern form",http://id.loc.gov/vocabulary/relators/trl,trl,"",Contributor,MARC Code List for Relators Scheme
role_pdr,Project director,"A person or organization with primary responsibility for all essential aspects of a project, has overall responsibility for managing projects, or provides overall direction to a project manager",http://id.loc.gov/vocabulary/relators/pdr,pdr,"","",MARC Code List for Relators Scheme
role_pbl,Publisher,"A person or organization responsible for publishing, releasing, or issuing a resource",http://id.loc.gov/vocabulary/relators/pbl,pbl,"","",MARC Code List for Relators Scheme
role_dnc,Dancer,"A performer who dances in a musical, dramatic, etc., presentation",http://id.loc.gov/vocabulary/relators/dnc,dnc,"",Contributor,MARC Code List for Relators Scheme
role_dtc,Data contributor,A person or organization that submits data for inclusion in a database or other collection of data,http://id.loc.gov/vocabulary/relators/dtc,dtc,"","",MARC Code List for Relators Scheme
role_stg,Setting,"An entity in which the activity or plot of a work takes place, e.g. a geographic place, a time period, a building, an event",http://id.loc.gov/vocabulary/relators/stg,stg,"","",MARC Code List for Relators Scheme
role_drt,Director,"A person responsible for the general management and supervision of a filmed performance, a radio or television program, etc.",http://id.loc.gov/vocabulary/relators/drt,drt,"",Other,MARC Code List for Relators Scheme
